,amon,brp,cac,Cadps,Fife,Liprin-alpha,Pdf,Rab27,Rab3,Rbp,RhoGAP100F,Rim,Snap25,Syb,Syt1,Syt12,Syt14,Syt4,Syt7,Sytalpha,Sytbeta,Syx13,Syx16,Syx17,Syx18,Syx4,Syx5,Syx6,Syx7,Syx8,unc-13,date,experiment,exp_time
20190228_CLK856_LD_ZT10_AR03_TGAGGA,22,25,12,12,4,0,11,0,26,17,21,29,83,0,134,0,0,31,6,0,9,1,1,0,1,0,0,13,8,0,51,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGAGTG,22,7,8,2,10,2,9,0,19,8,8,23,10,0,53,0,1,19,12,8,12,3,1,0,0,0,3,0,4,1,46,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGCAAC,8,9,5,1,3,0,9,1,0,1,11,5,1,0,9,0,4,3,0,0,3,0,0,0,0,0,0,1,0,0,10,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGCAGA,13,16,26,14,65,7,833,0,27,5,7,16,2,0,23,0,2,7,5,6,25,0,1,0,0,0,1,2,4,0,29,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGCATG,33,12,23,17,24,2,6,0,18,7,12,16,9,0,56,0,0,35,11,5,18,0,0,0,0,1,0,0,3,0,46,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGGTAC,0,0,1,1,0,0,3,0,1,5,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGGTGA,2,5,8,5,1,0,1,0,21,7,0,17,7,0,35,0,0,3,8,1,2,0,0,0,0,0,0,0,0,0,16,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGGTTG,0,2,5,4,1,0,10,0,2,2,3,9,11,0,19,0,0,14,3,0,0,0,0,0,2,0,0,0,0,0,6,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGTCAC,0,0,0,0,0,0,4,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGTCGA,0,1,5,5,1,0,3,0,6,4,0,10,1,0,11,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,9,2019-02-28,LD,ZT10
