,DIP-gamma,DIP-beta,DIP-delta,DIP-theta,Idents,date,experiment,exp_time
20190710_CLK856_DD_CT06_AR04_ACGTAC,0,0,3,0,9:LNd_NPF,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_AGCTCA,0,0,0,1,19:DN2,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_AGCTTC,0,0,13,0,9:LNd_NPF,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_AGGATC,0,0,1,0,6:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_AGTGAG,1,0,4,0,9:LNd_NPF,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_AGTGCA,0,0,17,0,5:LNd_Trissin,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CAACCA,3,0,1,4,6:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CAACTC,0,0,1,2,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CAGAAG,0,0,0,2,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CAGACA,1,0,0,8,15:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CATGAG,0,0,0,0,4:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CATGCA,0,0,35,0,5:LNd_Trissin,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CTCAGA,0,0,0,1,19:DN2,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CTCATG,1,0,0,2,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CTGTGA,0,0,0,0,19:DN2,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CTGTTG,1,0,0,1,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CTTCAC,0,0,17,1,5:LNd_Trissin,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_CTTCTG,4,0,0,2,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_GACAAC,0,1,0,0,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_GACATG,0,0,1,1,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_GATCTG,0,0,0,0,4:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_GTACCA,1,0,0,1,19:DN2,2019-07-10,DD,CT06
